1 Jan,34.6,23.9,25.8,21.9,0,11.6,5.8,1130,1015.3,1010
2 Jul,33.3,27.8,26.8,24.7,0,5.8,2.7,1014.2,1013,1012.6
3 Jul,32.1,24.2,26.5,22.3,8.4,9.4,4.7,1014.2,1013.8,1012.3
4 Jul,33.2,27.1,26.5,24.4,8.4,5.8,2.7,1014.2,1014.3,1013.8
5 Jul,33.5,27.5,26.4,23.8,8.4,7.2,3.1,1014.2,1014.3,1012.8
8 Jul,27.4,26.9,25.6,24.7,0,1.3,0.8,1014.2,1014.6,1013.5
9 Jul,30.9,23.9,26.9,23,5,2.7,1,1014.2,1015.7,1010.9
11 Jul,33.8,27.5,25.2,22.8,0,2.7,1.9,1014.2,1015.4,1011.8
12 Jul,33.2,26.9,25.7,23.6,0,3.1,1.4,1014.2,1015.2,1011.6
13 Jul,33.4,26.7,26.3,23.7,0,3.1,1.5,1014.2,1014.5,1010.1
14 Jul,33.2,27.8,26.2,24.1,0,2.7,1.6,1014.2,1013.8,1008.7
15 Jul,28.9,23.5,25.3,22.4,19.2,5.4,1.2,1014.2,1014,1010.1
16 Jul,31.3,26.1,26.2,22.7,3.8,3.1,1.3,1014.2,1012.6,1008.9
17 Jul,31.9,26.1,25.9,21.8,0,3.1,1.5,1014.2,1012,1007.7
18 Jul,32.7,27.2,25.2,21.9,0,3.1,1.9,1014.2,1011,1007.2
19 Jul,32.8,27.1,25.2,21.6,0,3.1,1.6,1014.2,1011.2,1008.3
20 Jul,33,27.3,25.8,22.9,0,2.7,1.3,1014.2,1011.9,1008.2
21 Jul,33,25.9,26.6,23.3,0,2.7,0.8,1014.2,1011.9,1009.5
22 Jul,32.6,25.9,26.2,22.7,0,4,0.9,1014.2,1012.9,1009.2
23 Jul,28.7,26.9,24.7,23.1,0,4.7,0.8,1014.2,1014.3,1012.3
24 Jul,29.1,26.9,25,23.1,0,6.5,0.9,1014.2,1014.9,1012.3
25 Jul,32.7,26.9,25.4,20.8,0,9.7,1.1,1014.2,1015.3,1011.5
26 Jul,33.8,25.1,25.2,22.2,0,9.7,1.4,1014.2,1014.2,1010.5
27 Jul,33.5,26.9,25.9,23,0,3.6,1.5,28.6,1013.7,1009.429
29 Jul,34.2,27.2,26.4,22.1,0.0,6.7,1.5,28.7,1014.2,1010.1
30 Jul,33.1,27.4,26.2,23.9,0.0,7.6,1.6,28.6,1014.4,1009.6
31 Jul,32.8,27.2,25.4,22.2,0.0,8.9,1.7,27.8,1013.8,1009.7
1 Aug,32.8,25.8,24.8,21.3,0.0,7.6,1.4,28.5,1014.8,1010.8
2 Aug,32.7,26.8,25.4,22.2,0.0,8.0,1.7,28.8,1013.8,1010.3
3 Aug,33.4,27.4,25.5,22.8,0.0,6.7,1.6,28.9,1013.9,1009.6
4 Aug,31.9,27.2,26.2,23.9,0.0,7.6,1.6,28.4,1013.1,1009.7
5 Aug,32.0,26.0,26.8,23.6,6.2,7.6,1.5,28.3,1013.2,1009.2
6 Aug,32.0,27.4,25.9,24.2,0.0,6.3,1.5,28.1,1012.3,1008.8
7 Aug,32.4,26.8,25.8,23.8,0.0,6.7,1.5,28.3,1012.2,1008.0
8 Aug,31.8,26.8,25.9,23.2,0.0,8.9,1.7,28.1,1012.6,1008.5
9 Aug,32.4,27.1,26.2,23.8,0.0,8.0,1.6,28.5,1012.6,1008.7
10 Aug,32.3,27.4,25.9,24.1,0.0,7.2,1.8,28.2,1012.6,1008.1
11 Aug,32.9,27.2,26.5,24.0,0.0,8.0,1.7,28.8,1013.0,1008.1
12 Aug,33.4,27.6,25.8,23.3,0.0,7.2,1.9,28.5,1013.9,1009.4
13 Aug,33.2,27.6,26.2,24.5,0.0,7.2,1.7,28.8,1013.5,1009.9
14 Aug,33.2,27.4,27.3,24.3,0.8,7.2,1.6,28.3,1014.7,1010.1
15 Aug,32.8,26.3,26.2,22.4,0.0,7.2,1.4,28.7,1015.1,1011.0
16 Aug,33.7,27.5,25.5,21.8,0.0,8.5,1.7,28.7,1014.7,1010.7
17 Aug,33.1,24.8,26.8,23.1,6.8,7.6,1.8,28.3,1015.3,1010.5
18 Aug,33.7,27.7,26.1,21.3,0.0,8.0,2.1,27.9,1014.5,1010.8
19 Aug,34.1,26.8,25.4,20.3,0.0,7.2,1.5,28.4,1014.8,1010.5
20 Aug,33.4,27.7,25.9,23.6,0.0,9.4,2.4,28.6,1013.3,1009.0
21 Aug,33.1,27.5,25.9,23.2,0.0,7.6,1.9,28.5,1013.1,1009.4
22 Aug,32.9,27.6,26.5,23.1,0.0,8.5,1.9,28.7,1014.2,1010.0
23 Aug,34.1,27.6,26.1,19.7,0.0,8.9,2.2,28.3,1014.4,1009.9
24 Aug,33.4,27.3,25.4,20.8,0.0,6.3,1.9,28.4,1013.9,1010.0
25 Aug,33.1,26.9,25.7,23.1,0.0,11.2,1.5,28.5,1014.4,1010.0
26 Aug,33.7,24.6,25.9,22.6,3.4,7.2,1.4,25.5,1014.0,1008.8
27 Aug,30.9,24.8,25.9,22.9,0.4,10.7,1.1,26.3,1014.3,1009.3
28 Aug,28.2,25.3,24.9,22.8,0.0,6.7,0.8,26.8,1015.0,1011.0
29 Aug,32.2,26.1,26.2,24.4,0.0,8.0,1.6,28.1,1014.1,1008.8
31 Aug,33.2,26.4,24.6,20.1,0.0,8.0,1.6,27.8,1012.0,1008.5
1 Sep,33.3,25.2,26.0,22.7,0.0,6.7,1.4,28.5,1013.2,1009.4
2 Sep,33.1,26.9,27.6,24.7,5.6,6.7,1.7,28.8,1013.1,1009.8
3 Sep,33.7,27.6,26.4,22.9,0.0,7.2,1.7,28.7,1013.3,1008.9
4 Sep,32.5,24.5,26.5,23.0,4.4,7.2,1.5,28.5,1014.4,1009.6
5 Sep,34.1,27.2,26.4,22.6,0.0,8.0,1.8,28.2,1014.2,1009.4
8 Sep,33.8,26.6,25.5,20.7,0.0,8.0,1.9,28.3,1014.8,1010.4
9 Sep,33.5,27.3,25.9,23.0,0.0,6.3,1.8,28.6,1014.4,1010.3
10 Sep,33.1,27.5,26.0,23.1,0.0,7.2,2.1,28.3,1015.2,1010.6
11 Sep,34.1,27.2,25.9,20.3,0.0,6.7,1.7,28.3,1016.3,1011.7
12 Sep,33.9,26.5,25.6,23.0,0.0,7.6,1.5,28.3,1016.8,1011.5
13 Sep,33.3,26.2,25.6,23.1,0.0,5.8,1.3,28.5,1015.5,1010.9
14 Sep,30.1,26.4,25.8,24.3,0.2,6.7,1.2,28.0,1015.2,1010.8
15 Sep,32.7,27.0,25.6,23.1,0.0,7.2,1.4,27.9,1014.0,1009.7
16 Sep,33.1,26.6,24.9,21.1,0.0,6.3,1.4,28.0,1013.6,1008.8
17 Sep,33.1,26.9,25.9,22.5,0.0,6.7,1.6,28.4,1014.1,1009.7
18 Sep,33.4,27.6,25.9,23.1,0.0,7.2,2.1,28.3,1014.4,1010.5
20 Sep,32.8,27.4,25.6,23.0,0.0,6.7,1.8,28.0,1014.6,1010.4
21 Sep,34.2,26.9,25.4,18.8,0.0,8.0,2.1,28.4,1013.5,1009.4
22 Sep,33.9,26.7,25.6,22.5,0.0,8.0,2.4,28.7,1014.4,1009.8
23 Sep,32.1,27.4,25.9,22.9,0.6,11.2,2.1,27.5,1014.9,1010.9
25 Sep,30.4,24.2,26.0,23.4,21.4,7.2,1.0,25.2,1014.7,1011.6
27 Sep,32.6,25.7,27.1,21.3,2.6,6.3,1.2,27.2,1015.6,1011.2
28 Sep,33.4,24.9,26.1,23.9,0.2,7.6,0.9,27.9,1015.5,1010.8
29 Sep,33.4,23.8,26.6,22.0,25.2,14.3,1.0,24.7,1015.2,1011.3
30 Sep,30.3,23.7,26.0,22.5,17.4,7.2,1.0,25.2,1016.0,1012.0
1 Oct,32.3,24.3,26.3,23.5,0.0,6.7,1.0,26.3,1015.2,1011.5
2 Oct,32.9,23.8,26.2,21.3,1.4,8.0,1.1,24.3,1014.9,1012.0
4 Oct,32.0,24.2,26.0,22.8,25.2,7.6,1.2,27.7,1015.6,1010.7
5 Oct,33.8,24.4,25.4,22.5,0.4,7.6,1.5,25.2,1014.0,1008.8
7 Oct,32.0,24.1,26.0,22.4,25.0,9.4,1.0,24.9,1014.2,1010.4
8 Oct,32.4,23.9,26.3,23.5,0.6,7.2,1.1,26.4,1014.5,1009.8
9 Oct,32.7,24.7,26.2,22.5,0.6,6.7,1.0,26.4,1014.2,1009.2
10 Oct,33.0,24.4,26.4,23.5,0.0,6.7,1.2,26.2,1014.5,1010.4
11 Oct,34.9,24.1,26.1,22.0,0.0,8.0,1.5,28.6,1014.1,1009.1
12 Oct,33.1,25.4,27.5,23.7,8.2,8.0,1.0,26.0,1013.1,1008.9
13 Oct,34.4,25.0,26.7,21.6,0.0,6.3,1.1,28.3,1013.3,1008.9
14 Oct,35.1,25.4,26.7,20.4,0.0,6.7,1.2,27.1,1013.3,1009.2
15 Oct,32.8,25.0,26.6,22.5,0.2,5.4,1.1,27.6,1013.5,1009.1
16 Oct,33.7,26.0,26.5,24.0,0.4,8.9,1.3,27.8,1013.3,1008.0
21 Oct,31.4,25.6,26.9,24.1,3.0,7.2,1.0,26.8,1012.2,1008.2
23 Oct,32.6,24.1,26.2,23.6,13.6,8.0,0.9,26.1,1013.1,1008.0
24 Oct,31.1,25.1,27.4,21.2,0.2,5.4,0.9,27.4,1013.2,1008.9
25 Oct,34.4,25.6,26.7,23.4,0.0,7.6,1.3,26.5,1013.8,1008.1
26 Oct,33.5,24.7,26.0,23.1,4.6,6.7,0.9,25.4,1013.3,1009.5
27 Oct,34.6,24.0,26.1,23.1,10.0,8.5,1.3,24.9,1012.5,1007.2
30 Oct,33.9,25.5,25.7,21.1,0.6,7.2,1.1,26.6,1012.4,1008.2
31 Oct,32.3,25.1,26.5,23.5,0.0,6.3,1.0,27.8,1012.6,1008.2
2 Nov,34.3,25.2,25.9,22.4,0.4,10.3,1.0,26.8,1013.5,1008.5
3 Nov,32.9,25.1,25.9,22.9,0.0,5.8,1.2,26.7,1014.2,1010.2
4 Nov,33.7,25.0,26.9,22.9,2.2,6.7,0.8,26.5,1014.9,1010.4
5 Nov,31.6,24.6,27.0,23.4,29.4,7.6,0.9,26.8,1014.8,1008.8
6 Nov,34.0,25.5,27.0,23.5,0.0,5.8,1.1,28.9,1013.1,1007.7
7 Nov,34.8,26.3,26.9,24.5,0.0,5.8,1.4,29.7,1013.1,1008.7
8 Nov,31.9,22.9,26.5,21.7,33.4,13.9,1.6,26.7,1017.1,1010.7
9 Nov,34.2,25.2,26.9,22.9,0.0,6.3,1.0,26.3,1015.2,1010.2
12 Nov,32.2,23.8,27.7,22.7,61.0,9.8,0.8,25.4,1013.7,1009.9
13 Nov,32.8,24.6,26.9,24.1,0.0,5.8,1.0,27.1,1014.1,1009.0
15 Nov,30.4,25.1,25.7,23.9,0.0,8.5,1.3,26.6,1014.7,1009.8
16 Nov,33.4,25.1,26.8,23.8,0.0,6.3,1.1,26.5,1014.1,1009.5
17 Nov,35.2,24.4,26.0,21.4,0.0,7.6,1.3,27.9,1014.0,1009.6
18 Nov,35.0,25.3,26.0,22.4,0.0,8.0,1.2,27.4,1014.3,1008.9
19 Nov,32.9,25.2,26.4,23.7,4.2,8.0,1.2,25.9,1013.9,1009.1
21 Nov,30.8,24.3,26.1,23.7,0.2,8.5,1.4,25.9,1013.8,1009.9
22 Nov,32.0,24.8,25.7,23.3,0.2,6.3,1.3,25.4,1014.2,1010.5
23 Nov,31.5,24.4,26.3,23.5,0.8,8.9,1.4,25.7,1014.6,1010.4
25 Nov,34.7,23.8,26.3,22.6,1.8,8.5,1.0,26.7,1014.3,1008.8
26 Nov,33.3,24.7,26.4,23.9,0.0,9.4,1.9,27.6,1012.9,1007.3
27 Nov,32.7,25.2,26.7,24.1,0.0,7.2,1.5,26.7,1012.4,1008.3
28 Nov,32.4,25.1,26.8,23.8,11.6,8.5,1.3,26.9,1012.1,1008.3
29 Nov,32.6,24.5,27.1,23.6,51.6,9.4,1.0,25.3,1012.2,1009.3
30 Nov,33.2,24.7,27.1,24.2,0.2,6.7,1.0,26.4,1012.8,1007.8
1 Dec,34.2,25.3,27.5,24.5,5.6,9.4,1.2,25.6,1012.2,1008.2
2 Dec,32.1,23.2,26.5,22.4,36.6,8.5,1.3,25.8,1013.1,1009.8
3 Dec,31.0,25.4,25.7,23.3,0.2,11.6,2.2,27.0,1013.3,1010.3
4 Dec,32.3,25.8,25.4,22.6,0.0,13.0,2.5,26.9,1014.1,1010.2
6 Dec,32.7,25.5,25.3,22.9,0.0,10.7,2.6,27.4,1014.5,1010.2
7 Dec,30.3,26.3,24.6,23.0,0.0,14.3,2.7,27.5,1015.0,1011.2
8 Dec,28.7,25.5,24.9,23.5,0.0,8.9,1.7,26.2,1015.8,1011.5
9 Dec,27.1,23.8,24.9,22.9,17.2,8.9,1.9,25.1,1016.0,1012.1
10 Dec,26.6,23.6,25.3,22.4,7.2,7.2,0.9,23.8,1014.6,1009.8
11 Dec,25.5,22.8,24.5,22.1,22.6,8.0,1.5,24.2,1015.0,1010.9
12 Dec,31.5,23.3,25.7,21.8,0.2,11.2,2.5,26.3,1014.4,1010.3
13 Dec,28.3,23.3,25.0,22.4,29.0,9.8,1.4,23.4,1015.0,1011.5
14 Dec,26.4,23.3,25.0,22.8,29.0,4.0,1.0,24.2,1014.8,1011.2
15 Dec,25.6,23.6,24.8,23.3,39.4,4.0,0.9,23.8,1014.1,1010.9
16 Dec,30.5,22.8,25.8,22.4,0.0,6.3,1.3,25.7,1013.7,1009.8
17 Dec,28.7,24.3,26.4,23.5,7.8,6.3,0.7,24.7,1013.7,1010.1
18 Dec,31.8,24.2,26.6,23.9,21.8,8.0,0.9,24.9,1014.6,1010.6
19 Dec,31.7,23.4,26.5,23.1,0.0,9.4,1.4,26.2,1014.8,1009.4
20 Dec,31.2,25.2,26.2,24.1,1.2,8.5,1.8,26.7,1013.7,1008.9
21 Dec,30.7,25.6,26.3,23.8,6.2,8.0,1.5,25.7,1013.5,1009.7
22 Dec,31.1,24.4,25.8,23.5,0.0,8.9,1.8,26.6,1014.7,1010.4
23 Dec,32.8,24.3,25.9,23.5,4.6,7.6,1.3,26.3,1014.8,1010.2
26 Dec,31.4,24.8,24.9,23.1,0.0,8.0,1.7,26.4,1014.1,1011.0
27 Dec,33.1,25.5,24.7,23.2,0.0,8.5,2.2,26.6,1013.9,1009.8
